Gene Symbol,Ensembl ID,Pvalue,LogFC,Dataset,Accession,Tissue,origem
RABGAP1L,ENSG00000152061,	6.94855381735468e-66,	-107.209090331073,,,,BOST_bCells.csv
RAPGEF2,ENSG00000109756,	1.04107942144176e-14,	-24.9173481377547,,,,BOST_bCells.csv
RBM33,ENSG00000184863,	2.69453885612679e-09,	-23.6324311289651,,,,BOST_bCells.csv
ST6GAL1,ENSG00000073849,	4.81080058852117e-52,	-34.460532474977,,,,BOST_bCells.csv
TMEM131L,ENSG00000121210,	7.77575992008614e-25,	-28.3119949550937,,,,BOST_bCells.csv
TMSB4X,ENSG00000205542,	3.82446886770101e-248,	121.679942289801,,,,BOST_bCells.csv
TPT1,ENSG00000133112,0,	48.5440200892572,,,,BOST_bCells.csv
TXN,ENSG00000136810,	4.16513884090095e-133,	55.5722875469172,,,,BOST_bCells.csv
UBE2E2,ENSG00000182247,	2.47832176684772e-34,	-32.291588600376,,,,BOST_bCells.csv
VIM,ENSG00000026025,	8.09391684001662e-162,	47.825182684257,,,,BOST_bCells.csv
WDFY4,ENSG00000128815,	2.10423883329679e-09,	-38.9469991310779,,,,BOST_bCells.csv
AHNAK,ENSG00000124942,	5.858722023363119e-28,	-13.956952181586,,,,Delorey_bCells.csv
AL589693.1,AL589693.1,	1.96012832908595e-175,	-18.4598473430102,,,,Delorey_bCells.csv
ANKRD28,ENSG00000206560,	7.76903959099731e-41,	-37.0217758579045,,,,Delorey_bCells.csv
AP001011.1,AP001011.1,	7.96678049529504e-24,	-23.6061177870631,,,,Delorey_bCells.csv
CAMK1D,ENSG00000183049,	6.176606328123979e-36,	-21.813329581066,,,,Delorey_bCells.csv
CARMIL1,ENSG00000079691,	4.3472215910414605e-60,	-17.7932668444726,,,,Delorey_bCells.csv
CYREN,ENSG00000122783,	3.03017399083454e-58,	-15.3910954344166,,,,Delorey_bCells.csv
FTL,ENSG00000087086,	1.18091118122562e-47,	87.2010632837061,,,,Delorey_bCells.csv
HSP90AA1,ENSG00000080824,	5.42338581522077e-159,	243.680993999668,,,,Delorey_bCells.csv
HSPH1,ENSG00000120694,	4.98043099668076e-86,	75.948186627929,,,,Delorey_bCells.csv
IGHA1,ENSG00000211895,	1.73455412603262e-09,	606.851291039169,,,,Delorey_bCells.csv
IGHG1,ENSG00000211896,	0.0019875964792523,	172.519964229181,,,,Delorey_bCells.csv
IGHM,ENSG00000211899,	3.04735123712716e-05,	300.999945171699,,,,Delorey_bCells.csv
IGLC2,ENSG00000211677,	0.0003100872183008,	438.049854717045,,,,Delorey_bCells.csv
IGLC3,ENSG00000211679,	6.76265515820586e-11,	726.586606204319,,,,Delorey_bCells.csv
IQSEC1,ENSG00000144711,	0.0062434404643222,	-17.1857727305868,,,,Delorey_bCells.csv
LINC00513,ENSG00000233559,	1.11214447723552e-55,	-20.5456604272062,,,,Delorey_bCells.csv
MALAT1,ENSG00000251562,	8.72937503141489e-35,	247.61053766103,,,,Delorey_bCells.csv
MT-ATP6,ENSG00000198899,	9.99952479193806e-56,	85.5474655160847,,,,Delorey_bCells.csv
MT-CO1,ENSG00000198804,	1.09035301153932e-31,	66.7988427206634,,,,Delorey_bCells.csv
MT-CO2,ENSG00000198712,	6.61892353005881e-58,	90.5936006166014,,,,Delorey_bCells.csv
MT-ND1,ENSG00000198888,	3.87431709124429e-28,	71.2703031740442,,,,Delorey_bCells.csv
MT-ND2,ENSG00000198763,	4.99597136818306e-44,	137.652082529405,,,,Delorey_bCells.csv
NDUFAF6,ENSG00000156170,	1.62410083809789e-76,	-15.8491182287638,,,,Delorey_bCells.csv
NEDD9,ENSG00000111859,	2.19202463201273e-20,	-28.927831276585,,,,Delorey_bCells.csv
PELI1,ENSG00000197329,	6.64387947620678e-08,	-44.3694770208977,,,,Delorey_bCells.csv
RAPGEF1,ENSG00000107263,	1.66719688028574e-11,	-13.9664479798516,,,,Delorey_bCells.csv
RASGEF1B,ENSG00000138670,	9.7792029194346e-134,	218.666486403269,,,,Delorey_bCells.csv
SLC26A3,ENSG00000091138,	5.491983404474562e-110,	146.287083003695,,,,Delorey_bCells.csv
TBCEL,ENSG00000154114,	2.48124073959769e-136,	-18.6747929719379,,,,Delorey_bCells.csv
TXNDC5,ENSG00000239264,	7.25043846242675e-190,	-14.9173444345,,,,Delorey_bCells.csv
AFF3,ENSG00000144218,	4.79361295206017e-299,	-37.4037391166455,,,,Izar_bCells.csv
ANKRD28,ENSG00000206560,	0.0003260540567033,	-19.8802989060732,,,,Izar_bCells.csv
CAMK1D,ENSG00000183049,	4.39414361746203e-100,	-13.5538184735028,,,,Izar_bCells.csv
EBF1,ENSG00000164330,	4.841621586552739e-156,	-24.6828639184588,,,,Izar_bCells.csv
FKBP5,ENSG00000096060,	9.879767184374139e-27,	-13.7098942849488,,,,Izar_bCells.csv
FNDC3B,ENSG00000075420,	3.4533698280377798e-177,	36.3760194463779,,,,Izar_bCells.csv
GAB1,ENSG00000109458,	6.87049047525204e-07,	-16.6486408557287,,,,Izar_bCells.csv
GLCCI1,ENSG00000106415,	5.62170831498325e-95,	34.6646283432124,,,,Izar_bCells.csv
HSP90AA1,ENSG00000080824,	2.3416038529172402e-259,	144.58380128878,,,,Izar_bCells.csv
HSP90B1,ENSG00000166598,	2.90053251772824e-181,	52.2420019661447,,,,Izar_bCells.csv
IGHA1,ENSG00000211895,	3.51119334311316e-48,	167.666987982094,,,,Izar_bCells.csv
IGHG1,ENSG00000211896,	2.0127247223420505e-113,	66.4556115571614,,,,Izar_bCells.csv
IGHG3,ENSG00000211897,	2.68888290139041e-46,	120.057873771461,,,,Izar_bCells.csv
IGKC,ENSG00000211592,	1.27822459839048e-64,	36.381739431636,,,,Izar_bCells.csv
IGLC3,ENSG00000211679,	6.69726676511329e-88,	313.379187282317,,,,Izar_bCells.csv
JCHAIN,ENSG00000132465,	3.4729326514728e-163,	40.7097956043721,,,,Izar_bCells.csv
LPP,ENSG00000145012,	3.25887269175408e-105,	-39.5477452131206,,,,Izar_bCells.csv
MALAT1,ENSG00000251562,	2.30535161535389e-06,	199.409847888865,,,,Izar_bCells.csv
NEAT1,ENSG00000245532,	1.71321350871825e-174,	60.7540712127752,,,,Izar_bCells.csv
NEDD9,ENSG00000111859,	1.11574225877967e-20,	-32.4496954903521,,,,Izar_bCells.csv
RABGAP1L,ENSG00000152061,	0.000101655843117,	-49.9529628740012,,,,Izar_bCells.csv
SLC9A9,ENSG00000181804,	0.0019567118113976,	-14.1374656243504,,,,Izar_bCells.csv
TMEM131L,ENSG00000121210,	8.45612678577307e-54,	-16.9088514146896,,,,Izar_bCells.csv
APOC1,ENSG00000130208,	1.36089839996962e-46,	-139.643410183943,,,,LIAO_bCells.csv
APOE,ENSG00000130203,	2.83252257364344e-56,	-83.4082614349623,,,,LIAO_bCells.csv
ATF5,ENSG00000169136,	4.64468398025101e-66,	44.8264591121716,,,,LIAO_bCells.csv
B2M,ENSG00000166710,	1.91643712151343e-53,	73.8456756990776,,,,LIAO_bCells.csv
CCL2,ENSG00000108691,	3.65826093302976e-14,	-177.179502861869,,,,LIAO_bCells.csv
CCR7,ENSG00000126353,	3.16906991827096e-153,	57.9079326644824,,,,LIAO_bCells.csv
CD69,ENSG00000110848,	1.84569008628522e-100,	52.1297821550549,,,,LIAO_bCells.csv
CD74,ENSG00000019582,	1.2118886834651e-176,	158.968254770259,,,,LIAO_bCells.csv
CD83,ENSG00000112149,	1.32759559884609e-100,	38.7460559037869,,,,LIAO_bCells.csv
CST3,ENSG00000101439,	9.50172754871698e-07,	56.5369068671432,,,,LIAO_bCells.csv
EEF1A1,ENSG00000156508,	8.93263316847952e-57,	62.3076870304034,,,,LIAO_bCells.csv
FABP5,ENSG00000164687,	0.0004827853818656,	89.6466218524571,,,,LIAO_bCells.csv
FTH1,ENSG00000167996,	8.90852122642388e-45,	278.711943164043,,,,LIAO_bCells.csv
FTL,ENSG00000087086,	7.122620558874171e-09,	-159.867349266201,,,,LIAO_bCells.csv
HLA-DPA1,ENSG00000231389,	3.21318130940263e-88,	44.993161313362,,,,LIAO_bCells.csv
HLA-DRB5,ENSG00000198502,	1.09005862899223e-93,	44.8841847667803,,,,LIAO_bCells.csv
HSP90AA1,ENSG00000080824,	6.34966825812398e-07,	-94.9363842262339,,,,LIAO_bCells.csv
HSP90B1,ENSG00000166598,	2.26777367060748e-83,	-155.539263981178,,,,LIAO_bCells.csv
HSPA5,ENSG00000044574,	7.03030208370205e-28,	-148.099459701397,,,,LIAO_bCells.csv
IFITM2,ENSG00000185201,	1.67507456077559e-95,	44.0998249913188,,,,LIAO_bCells.csv
IFITM3,ENSG00000142089,	1.6984861407592898e-78,	43.2809996789189,,,,LIAO_bCells.csv
IGHG4,ENSG00000211892,	1.28249185316505e-170,-inf,,,,LIAO_bCells.csv
IGLC3,ENSG00000211679,	3.3633038186399e-195,-inf,,,,LIAO_bCells.csv
LGALS3,ENSG00000131981,	3.33012095854987e-05,	61.9500779405756,,,,LIAO_bCells.csv
LTB,ENSG00000227507,	8.85548238671169e-50,	60.8649919669805,,,,LIAO_bCells.csv
LYZ,ENSG00000090382,	1.15649185878438e-38,	-236.107108054574,,,,LIAO_bCells.csv
MT-ATP6,ENSG00000198899,	7.47032537851075e-217,	-67.5348666493087,,,,LIAO_bCells.csv
MT-ATP8,ENSG00000228253,	2.59765113267403e-07,	87.8084417680939,,,,LIAO_bCells.csv
MT-CO1,ENSG00000198804,	3.592663552404161e-167,	-146.883304884748,,,,LIAO_bCells.csv
MT-CO3,ENSG00000198938,	4.07990087903082e-241,	-92.0611694825031,,,,LIAO_bCells.csv
MT-CYB,ENSG00000198727,	2.9401985668146004e-153,	-67.5251545164442,,,,LIAO_bCells.csv
MT-ND5,ENSG00000198786,	3.8641405006575306e-188,	-86.2899021778912,,,,LIAO_bCells.csv
MTRNR2L12,ENSG00000269028,	2.850528928068e-118,	-70.350159999923,,,,LIAO_bCells.csv
NEAT1,ENSG00000245532,	0.0046251721669575,	141.655914279592,,,,LIAO_bCells.csv
NFKBIA,ENSG00000100906,	2.17366622278066e-109,	56.1376791860067,,,,LIAO_bCells.csv
RPL39,ENSG00000198918,	1.87243530277098e-68,	46.0407390844663,,,,LIAO_bCells.csv
S100A10,ENSG00000197747,	0.0097445046328524,	79.6101000611394,,,,LIAO_bCells.csv
S100A8,ENSG00000143546,	7.45937071189195e-07,	145.637363552871,,,,LIAO_bCells.csv
S100A9,ENSG00000163220,	1.5391166525582401e-19,	95.2962276225459,,,,LIAO_bCells.csv
SAT1,ENSG00000130066,	1.20970099419827e-119,	76.7345718611458,,,,LIAO_bCells.csv
SOCS1,ENSG00000185338,	1.15333434961064e-168,	60.8472488550078,,,,LIAO_bCells.csv
SRGN,ENSG00000122862,	1.02396423502388e-21,	-86.7170236395795,,,,LIAO_bCells.csv
TAOK1,ENSG00000160551,	0.0342930031801158,	44.9851055062697,,,,LIAO_bCells.csv
TIMP1,ENSG00000102265,	0.0044274229293022,	-51.6651227216657,,,,LIAO_bCells.csv
TXN,ENSG00000136810,	7.41988964225272e-21,	254.186127407708,,,,LIAO_bCells.csv
ACKR1,ENSG00000213088,	2.4216282236422006e-45,	-52.4495029191397,,,,Xu_bCells.csv
ACTB,ENSG00000075624,	0.0117904241698638,	114.921786970333,,,,Xu_bCells.csv
AREG,ENSG00000109321,	0.0328576378337525,	99.290277641156,,,,Xu_bCells.csv
B2M,ENSG00000166710,	0.0002290787100947,	-103.916427051395,,,,Xu_bCells.csv
CAMP,ENSG00000164047,	0.003797055295943,	210.920163950497,,,,Xu_bCells.csv
CCL2,ENSG00000108691,	0.0206077188093009,	101.301525653936,,,,Xu_bCells.csv
CCL23,ENSG00000274736,	4.48090446003843e-72,	-22.1624804388906,,,,Xu_bCells.csv
CLU,ENSG00000120885,	8.8339232919403e-11,	-20.6286347501256,,,,Xu_bCells.csv
FABP4,ENSG00000170323,	2.7355861590286e-07,	81.9098869075484,,,,Xu_bCells.csv
FCN3,ENSG00000142748,	7.45131726846278e-102,	-97.15099048185,,,,Xu_bCells.csv
FOS,ENSG00000170345,	0.0172770902472585,	75.4990238175528,,,,Xu_bCells.csv
FTH1,ENSG00000167996,	2.45997097324417e-05,	96.8689447127939,,,,Xu_bCells.csv
FTL,ENSG00000087086,	0.0038134093113885,	383.522903711838,,,,Xu_bCells.csv
GPX3,ENSG00000211445,	5.555443393530609e-30,	-23.5579024353545,,,,Xu_bCells.csv
H3F3B,H3F3B,	0.0096660526946306,	89.7218197107592,,,,Xu_bCells.csv
IFI27,ENSG00000165949,	1.14578655509776e-22,	-19.2946894557959,,,,Xu_bCells.csv
IFITM3,ENSG00000142089,	2.2634793134119603e-19,	-21.4096422469363,,,,Xu_bCells.csv
IGHM,ENSG00000211899,	0.0095399386073315,	180.623568091849,,,,Xu_bCells.csv
IGKC,ENSG00000211592,	3.90610853108078e-06,inf,,,,Xu_bCells.csv
LCN2,ENSG00000148346,	0.0028992218043289,	136.800349907292,,,,Xu_bCells.csv
LTF,ENSG00000012223,	0.0284611740441777,	191.896086034949,,,,Xu_bCells.csv
MT-ATP6,ENSG00000198899,	3.82444230975818e-07,	125.280910226752,,,,Xu_bCells.csv
MT-CO1,ENSG00000198804,	1.14363857655101e-06,	195.97248336299,,,,Xu_bCells.csv
MT-CO2,ENSG00000198712,	8.4503203843263e-06,	252.054955434307,,,,Xu_bCells.csv
MT-CO3,ENSG00000198938,	3.6407041287763e-07,	178.687646280197,,,,Xu_bCells.csv
MT-CYB,ENSG00000198727,	0.0051919792848479,	87.7965373179256,,,,Xu_bCells.csv
MT-ND1,ENSG00000198888,	1.39167966696318e-06,	123.863729681757,,,,Xu_bCells.csv
MT-ND3,ENSG00000198840,	3.28108927968081e-05,	135.379291623682,,,,Xu_bCells.csv
MT-ND4,ENSG00000198886,	4.62808021444748e-05,	96.4280805861617,,,,Xu_bCells.csv
MT1X,ENSG00000187193,	8.73906150788236e-06,	197.415178381887,,,,Xu_bCells.csv
MT2A,ENSG00000125148,	8.13852910959277e-07,	273.877950049262,,,,Xu_bCells.csv
NEAT1,ENSG00000245532,	0.0308826290217706,	128.755377056396,,,,Xu_bCells.csv
OLFM4,ENSG00000102837,	0.0059160046841815,	228.316646795553,,,,Xu_bCells.csv
RETN,ENSG00000104918,	0.0018973054258558,	65.6735122569118,,,,Xu_bCells.csv
S100A12,ENSG00000163221,	0.009888027152382,	428.76711512473,,,,Xu_bCells.csv
SCGB3A1,ENSG00000161055,	9.71273909590652e-07,	-29.0877649968105,,,,Xu_bCells.csv
SCGB3A2,ENSG00000164265,	0.0016392058937524,	-167.576877041493,,,,Xu_bCells.csv
TIMP1,ENSG00000102265,	5.249249236021771e-10,	-55.2395699490444,,,,Xu_bCells.csv
TPT1,ENSG00000133112,	7.56598046319809e-05,	63.174207849434,,,,Xu_bCells.csv
VIM,ENSG00000026025,	0.0192394990361996,	66.9104483149461,,,,Xu_bCells.csv
ANKRD36C,ENSG00000174501,	1.99092679857511e-87,	-33.3444427783216,,,,Izar_DC.csv
BACE2,ENSG00000182240,	2.36492995931913e-54,	-18.4719256339272,,,,Izar_DC.csv
CCSER1,ENSG00000184305,	3.20832871101898e-39,	54.4817097479736,,,,Izar_DC.csv
FER1L6,ENSG00000214814,	6.87621666025939e-78,	-12.4305353029161,,,,Izar_DC.csv
GMDS,ENSG00000112699,	1.71397073364084e-53,	-45.4240328046602,,,,Izar_DC.csv
GPC6,ENSG00000183098,	1.8710761095835095e-34,	11.2211220657381,,,,Izar_DC.csv
GPRC5A,ENSG00000013588,	4.39116647855967e-29,	-18.0071165433113,,,,Izar_DC.csv
HSP90AA1,ENSG00000080824,	2.7171585213236e-09,	15.7806808440826,,,,Izar_DC.csv
IL1RAPL2,ENSG00000189108,	4.64616446785843e-57,	-24.2429606892486,,,,Izar_DC.csv
LDLR,ENSG00000130164,	1.08955623411341e-15,	11.8701381720445,,,,Izar_DC.csv
LINC00342,ENSG00000232931,	8.16162847596574e-78,	-60.852007791424,,,,Izar_DC.csv
MACROD2,ENSG00000172264,	7.641567759733251e-09,	-27.4658106087062,,,,Izar_DC.csv
MT-CO1,ENSG00000198804,	7.73205162489493e-13,	16.9509687879905,,,,Izar_DC.csv
MT-CO2,ENSG00000198712,	1.59727331085923e-45,	13.7888577758435,,,,Izar_DC.csv
MT-CO3,ENSG00000198938,	0.0004265732572157,	-23.1670475170825,,,,Izar_DC.csv
MT-ND1,ENSG00000198888,	8.63451788132779e-10,	10.015726970358,,,,Izar_DC.csv
MUC16,ENSG00000181143,	3.44764704703019e-23,	-19.7720852591075,,,,Izar_DC.csv
MUC5AC,ENSG00000215182,	1.2979187904365398e-92,	-20.8730657761562,,,,Izar_DC.csv
NCKAP5,ENSG00000176771,	3.3728326176672e-30,	-11.565713937569,,,,Izar_DC.csv
NEAT1,ENSG00000245532,	2.36459325220698e-47,	-79.5947316244131,,,,Izar_DC.csv
NEDD4L,ENSG00000049759,	1.61880566474241e-43,	9.84904146499462,,,,Izar_DC.csv
NRXN3,ENSG00000021645,	8.75982027061201e-67,	11.1129881942184,,,,Izar_DC.csv
PLAT,ENSG00000104368,	1.13419601913575e-59,	-18.0859230620525,,,,Izar_DC.csv
PTPRN2,ENSG00000155093,	1.94752185087851e-167,	-12.1822579625784,,,,Izar_DC.csv
RGS6,ENSG00000182732,	2.10551040371443e-151,	-19.659518076393,,,,Izar_DC.csv
SCGB1A1,ENSG00000149021,	5.33549079757924e-08,	-101.235157246978,,,,Izar_DC.csv
SCGB3A1,ENSG00000161055,	4.27200173109311e-26,	-114.825725149743,,,,Izar_DC.csv
SDK1,ENSG00000146555,	7.4263471274563e-43,	-34.7148691936099,,,,Izar_DC.csv
SFTPB,ENSG00000168878,	4.76920206363163e-127,	16.0778053924374,,,,Izar_DC.csv
SSBP2,ENSG00000145687,	2.20361529385999e-05,	-15.9714898425593,,,,Izar_DC.csv
SVIL,ENSG00000197321,	1.36559206079179e-05,	10.3435236970842,,,,Izar_DC.csv
ABLIM1,ENSG00000099204,	0.000629377026242,	-29.1217270770147,,,,BOST_Endothelial.csv
AC007319.1,AC007319.1,	3.88080813830257e-05,	-29.3750880065326,,,,BOST_Endothelial.csv
ADGRL2,ENSG00000117114,	2.12101754686167e-05,	-43.2659935087115,,,,BOST_Endothelial.csv
AFF3,ENSG00000144218,	4.37016163604346e-05,	-33.7033355340001,,,,BOST_Endothelial.csv
AKAP12,ENSG00000131016,	0.0118112916657854,	-36.7942325272682,,,,BOST_Endothelial.csv
ALOX5AP,ENSG00000132965,	2.53596541596182e-178,	26.126671345889,,,,BOST_Endothelial.csv
ARL15,ENSG00000185305,	1.04603962827131e-05,	-52.4569077757952,,,,BOST_Endothelial.csv
B2M,ENSG00000166710,	1.86415850975418e-16,	49.0071352556501,,,,BOST_Endothelial.csv
CEBPB,ENSG00000172216,	4.38300096067855e-171,	36.2139945771253,,,,BOST_Endothelial.csv
CEMIP2,ENSG00000135048,	0.001367737186392,	-32.2591809930671,,,,BOST_Endothelial.csv
CXCL8,ENSG00000169429,	1.11632119092321e-26,	177.50836112152,,,,BOST_Endothelial.csv
ERG,ENSG00000157554,	0.0001244308863265,	-53.899602797145,,,,BOST_Endothelial.csv
FLT1,ENSG00000102755,	0.0046436403495703,	-38.0815433107551,,,,BOST_Endothelial.csv
FOS,ENSG00000170345,	3.86430343083651e-12,	24.9281656797061,,,,BOST_Endothelial.csv
FTH1,ENSG00000167996,	2.1455761984426106e-15,	219.380148144993,,,,BOST_Endothelial.csv
FTL,ENSG00000087086,	5.84505869997584e-20,	221.735113996878,,,,BOST_Endothelial.csv
H3F3B,H3F3B,	1.29698915163821e-29,	27.8797298559554,,,,BOST_Endothelial.csv
HLA-B,ENSG00000234745,	9.93754298932799e-40,	25.8206220673693,,,,BOST_Endothelial.csv
HSP90AA1,ENSG00000080824,	5.23893272800453e-20,	25.6049863122977,,,,BOST_Endothelial.csv
JMJD1C,ENSG00000171988,	2.37410994448166e-05,	-28.0457398927516,,,,BOST_Endothelial.csv
JUN,ENSG00000177606,	1.93989337755151e-10,	28.6760160025674,,,,BOST_Endothelial.csv
KIAA1217,ENSG00000120549,	8.08014489975325e-06,	-35.0223911379401,,,,BOST_Endothelial.csv
LDB2,ENSG00000169744,	1.8363692846648e-10,	-51.0147191333939,,,,BOST_Endothelial.csv
LRMDA,ENSG00000148655,	2.6324578892542302e-09,	-39.4726525694274,,,,BOST_Endothelial.csv
MCTP1,ENSG00000175471,	0.0365408070980497,	-72.5231013906441,,,,BOST_Endothelial.csv
MT-ATP6,ENSG00000198899,	4.12059278431162e-17,	77.2010789112151,,,,BOST_Endothelial.csv
MT-CO1,ENSG00000198804,	9.02803252658786e-18,	116.38061991451,,,,BOST_Endothelial.csv
MT-CO2,ENSG00000198712,	7.631237361850861e-20,	137.646514438872,,,,BOST_Endothelial.csv
MT-CO3,ENSG00000198938,	1.32387102731078e-20,	79.1990505644898,,,,BOST_Endothelial.csv
MT-CYB,ENSG00000198727,	2.87382883002061e-29,	41.6366431623766,,,,BOST_Endothelial.csv
MT-ND2,ENSG00000198763,	5.64700982499506e-28,	41.4707078553972,,,,BOST_Endothelial.csv
MT-ND3,ENSG00000198840,	5.94138614984633e-18,	42.9052634627855,,,,BOST_Endothelial.csv
MT-ND4,ENSG00000198886,	2.80931634390149e-24,	33.5495855281258,,,,BOST_Endothelial.csv
MYO1E,ENSG00000157483,	0.0062700112025255,	-38.0299573715271,,,,BOST_Endothelial.csv
NEAT1,ENSG00000245532,	0.0048802462988003,	25.6098710453145,,,,BOST_Endothelial.csv
PDE4D,ENSG00000113448,	0.0100004332637229,	-32.2596716191087,,,,BOST_Endothelial.csv
PLPP1,ENSG00000067113,	0.0006338410929873,	-57.2441727291334,,,,BOST_Endothelial.csv
PRICKLE2,ENSG00000163637,	5.72437803596984e-05,	-35.1543751205708,,,,BOST_Endothelial.csv
PRKG1,ENSG00000185532,	0.0003740717536894,	-34.0065933082147,,,,BOST_Endothelial.csv
PTPRG,ENSG00000144724,	2.49957641515855e-08,	-32.4365844679592,,,,BOST_Endothelial.csv
RALGAPA2,ENSG00000188559,	1.01667772229699e-06,	-38.0300033889154,,,,BOST_Endothelial.csv
RPL41,ENSG00000229117,	3.43988016002738e-152,	23.2391920311267,,,,BOST_Endothelial.csv
RPLP1,ENSG00000137818,	7.402210166005911e-261,	27.657333986258,,,,BOST_Endothelial.csv
S100A11,ENSG00000163191,0,	80.9490824110065,,,,BOST_Endothelial.csv
S100A8,ENSG00000143546,	4.59387903918954e-153,	23.2453593327878,,,,BOST_Endothelial.csv
SLCO2A1,ENSG00000174640,	8.42293763603712e-06,	-27.9324946957255,,,,BOST_Endothelial.csv
SOD2,ENSG00000112096,	1.66651527571335e-09,	32.2520883391088,,,,BOST_Endothelial.csv
SRGN,ENSG00000122862,	8.157156223509541e-20,	36.9556658418631,,,,BOST_Endothelial.csv
SYN3,ENSG00000185666,	0.0005817495431861,	-53.8996039993873,,,,BOST_Endothelial.csv
TIMP3,ENSG00000100234,	1.64955288387771e-06,	-108.796684546032,,,,BOST_Endothelial.csv
TMSB4X,ENSG00000205542,	1.7198873198330599e-40,	44.4162923859128,,,,BOST_Endothelial.csv
TMTC1,ENSG00000133687,	0.0008270402314826,	-27.9327732193855,,,,BOST_Endothelial.csv
TPT1,ENSG00000133112,	3.26169024920794e-99,	28.8057863308278,,,,BOST_Endothelial.csv
VIM,ENSG00000026025,	8.11850830539221e-16,	56.4185774366353,,,,BOST_Endothelial.csv
WWTR1,ENSG00000018408,	0.0004439303926262,	-29.3741430432395,,,,BOST_Endothelial.csv
ABLIM1,ENSG00000099204,	3.4330032906202502e-09,	-23.7473592675603,,,,Delorey_Endothelial.csv
ADAMTS9,ENSG00000163638,	4.870456563405971e-47,	49.7492859841674,,,,Delorey_Endothelial.csv
